WikipediaID,WikidataID,PrequelID,SequelID,FreebaseID,MovieName,ReleaseDate,BoxOffice,Runtime,Languages,Countries,Genres
,Q3311913,Q1213905,Q3548585,,Mickey Plays Papa,1934,NaN,8,NaN,,NaN
,Q3311920,Q3548585,Q3437190,,Two-Gun Mickey,1934,NaN,8,NaN,,NaN
,Q3011676,Q3011670,NaN,,The Typist Gets Married,1934,NaN,85,NaN,,comedy film
,Q3233460,Q2421307,Q3311827,,Mickey's Service Station,1935,NaN,7,English,,comedy film
,Q3223678,Q3791155,Q1158834,,Pluto's Judgement Day,1935,NaN,9,English,,NaN
,Q3205306,Q1158729,Q3228490,,Mickey's Elephant,1936,NaN,8,English,,comedy film
,Q3226490,Q1161479,Q1158766,,Mickey's Rival,1936,NaN,8,English,,comedy film
,Q3366886,Q1158792,Q3311833,,Orphans' Picnic,1936,NaN,8,NaN,,comedy film
,Q7060158,Q331698,Q6756915,,Northwest Passage,1937,NaN,NaN,NaN,,historical fiction
,Q583439,Q2961440,Q2095700,,Mickey's Parrot,1938,NaN,8,English,,comedy film
,Q2646058,Q2720332,Q2500228,,Judge Hardy and Son,1939,NaN,90,English,,romantic comedy
,Q16155210,Q4927484,Q24904700,,Blondie Takes a Vacation,1939,NaN,NaN,English,,comedy film
,Q3226308,Q180431,Q3226807,,Tugboat Mickey,1940,NaN,7,NaN,,NaN
,Q717817,Q599812,Q716868,,Orphans' Benefit,1941,NaN,9,NaN,,comedy film
,Q23999247,Q4927486,Q24904705,,Blondie Goes Latin,1941,NaN,NaN,English,,comedy film
,Q120595,Q741033,Q741407,,N or M?,1941,NaN,NaN,NaN,,detective fiction
,Q83730321,Q7748088,Q3793071,,The Lone Rider Ambushed,1941,NaN,NaN,English,,Western film
,Q2067241,Q886764,NaN,,Fraidy Cat,1942,NaN,8,English,,family film
,Q64460177,Q7112145,Q64759211,,Overland Stagecoach,1942,NaN,NaN,English,,NaN
,Q2490942,Q2938038,NaN,,Valsch geld,1943,NaN,NaN,Dutch,,NaN
,Q65032577,Q8030599,Q64577347,,Law of the Saddle,1943,NaN,NaN,English,,NaN
,Q2506062,Q4051378,Q2294882,,The Million Dollar Cat,1944,NaN,7,NaN,,comedy
,Q4051200,Q1156484,NaN,,The Mouse Comes to Dinner,1945,NaN,7,NaN,,romantic comedy
,Q7757980,Q7750368,Q7939594,,The Power of the Whistler,1945,NaN,66,English,,mystery film
,Q2826308,Q3387812,Q3182834,,After You've Gone,1946,NaN,4,NaN,,NaN
,Q16253495,Q7939594,Q7763175,,Mysterious Intruder,1946,NaN,61,English,,crime film
,Q3311836,Q760681,Q636536,,Mickey Down Under,1948,NaN,7,NaN,,NaN
,Q9019408,Q3766318,Q618479,,The Harvest Is Rich,1948,NaN,142,Spanish,,drama film
,Q8000888,Q10393439,NaN,,Wild and Woody!,1948,NaN,NaN,English,,comedy film
,Q3377217,Q6266245,Q3576779,,Little Toot,1948,NaN,NaN,NaN,,NaN
,Q3388401,Q2399982,NaN,,Donald's Happy Birthday,1950,NaN,7,English,,NaN
,Q3392784,Q636536,Q3392766,,Plutopia,1951,NaN,7,NaN,,NaN
,Q3202235,Q847756,Q793775,,Pluto's Christmas Tree,1952,NaN,7,English,,Christmas film
,Q6071753,Q7902182,NaN,,Pepe the Bull,1952,NaN,120,Spanish,,drama film
,Q5929367,Q6683431,NaN,,Jeromin,1953,NaN,95,Spanish,,propaganda film
,Q12220747,Q7363130,Q12220442,,Somos todos inquilinos,1954,NaN,80,Spanish,,comedy film
,Q16682960,Q3236344,Q2986165,,Vous pigez?,1956,NaN,98,NaN,,drama film
,Q12294915,Q6150472,NaN,,Against All,1956,NaN,112,Czech,,historical film
,Q3893167,Q1143085,NaN,,"Bread, Love and Andalusia",1958,NaN,85,Spanish,,comedy film
,Q1131283,Q935984,Q2434476,,The Red Sea Sharks,1958,NaN,NaN,NaN,,comics
,Q11109995,Q8046767,NaN,,Yagyu Secret Scrolls part II,1958,NaN,NaN,Japanese,,film based on a novel
,Q63493990,Q17113993,,,Beware of the Mouse,1958,NaN,NaN,NaN,,NaN
,Q6656617,Q488376,Q5445734,,Live at the Blue Note,1959,NaN,NaN,NaN,,jazz
,Q5453893,Q634809,Q39058587,,First Time! The Count Meets the Duke,1961,NaN,NaN,NaN,,jazz
,Q3860653,Q1152330,NaN,,Mondo cane n. 2,1963,NaN,100,NaN,,documentary film
,Q27902631,Q839019,NaN,,Free Range Chicken,1963,NaN,NaN,Italian,,NaN
,Q7356084,Q5031527,Q6461778,,Rocío de la Mancha,1963,NaN,NaN,NaN,,pop music
,Q5990646,Q5464744,NaN,,If My Pillow Could Talk,1963,NaN,NaN,NaN,,rock and roll
,Q7196064,Q1146308,NaN,,Pink Pajamas,1964,NaN,NaN,NaN,,NaN
,Q23900102,Q4417252,NaN,,A Mother's Devotion,1966,NaN,89,Russian,,drama film
,Q1819137,Q544943,NaN,,Untamable Angelique,1967,NaN,80,French,,film based on a novel
,Q16995220,Q7564897,Q7716109,,Herb Alpert's Ninth,1967,NaN,NaN,NaN,,Latin pop
,Q3283685,Q3283845,Q3283690,,Cry Softly Lonely One,1967,NaN,NaN,NaN,,rock music
,Q1072240,Q777175,NaN,,Pink Floyd London '66–'67,1968,NaN,"1,710",NaN,,documentary film
,Q7782664,Q2557189,Q6911003,,album by Lalo Schifrin,1968,NaN,NaN,NaN,,jazz
,Q1763783,Q1755766,Q1756068,,Elvis Sings Flaming Star,1968,NaN,NaN,NaN,,rock music
,Q19408679,Q7997460,NaN,,An Unbelievable Fool,1969,NaN,84,Greek,,comedy film
,Q830191,Q599423,Q25600,,Gods of the Plague,1969,NaN,91,German,,drama film
,Q84704439,Q6743934,Q86452406,,Malkoçoğlu Akıncılar Geliyor,1969,NaN,"4,629.0",Turkish,,swashbuckler film
,Q1349744,Q2559488,NaN,,Ludwig auf Freiersfüßen,1969,NaN,85±0,German,,comedy film
,Q1354125,Q229557,Q385581,,1969 film by Harald Reinl,1969,NaN,95±0,German,,comedy film
,Q2585416,Q385581,Q250544,,We'll Take Care of the Teachers,1970,NaN,85±0,German,,comedy film
,Q6697280,Q6960440,NaN,,Lucille Has Messed My Mind Up,1970,NaN,NaN,NaN,,rock music
,Q4111568,Q404535,Q4111567,,Winnie-the-Pooh Pays a Visit,1971,NaN,10,Russian,,children's film
,Q1199469,Q822351,Q27909369,,Schoolgirl Report Part 2: What Keeps Parents Awake at Night,1971,NaN,91±0,German,,anthology film
,Q1592589,Q1321880,Q2290517,,Spaniards in Paris,1971,NaN,NaN,Spanish,,drama film
,Q831647,Q250544,,,Betragen ungenügend!,1972,NaN,95±0,German,,comedy film
,Q530406,Q218235,NaN,,Charlie and the Great Glass Elevator,1972,NaN,NaN,NaN,,children's novel
,Q7539005,Q7539012,NaN,,Slaughter's Big Rip-Off,1973,NaN,94,English,,blaxploitation film
,Q2599647,Q1475251,NaN,,Female Yakuza Tale: Inquisition and Torture,1973,NaN,76±0,Japanese,,pink film
,Q2414234,Q1553166,Q1866359,,The Singer,1973,NaN,NaN,NaN,,pop music
,Q3772866,Q506013,Q21145941,,Deep Throat Part II,1974,NaN,88,English,,pornographic film
,Q19516268,Q6111240,NaN,,Q19516268,1974,NaN,90,Spanish,,drama film
,Q11791180,Q54990,Q11740608,,Take It Easy,1974,NaN,NaN,Polish,,comedy film
,Q5325649,Q4867649,Q5089252,,Earache My Eye,1974,NaN,NaN,NaN,,comedy rock
,Q7100822,Q1170086,NaN,,Ordinary Fool,1975,NaN,NaN,NaN,,pop music
,Q6647353,Q6704796,NaN,,Lupo Goes to New York,1976,NaN,90,Hebrew,,comedy film
,Q2211419,Q820521,NaN,,Safari Express,1976,NaN,97±0,Italian,,comedy film
,Q3211255,Q7993164,NaN,,A Stranger Is Watching,1977,NaN,NaN,NaN,,crime novel
,Q2603827,Q2491914,Q2339617,,Return to Boggy Creek,1977,NaN,NaN,English,,horror film
,Q11195638,Q1132905,Q11193460,,DEAD END (ゴダイゴのアルバム),1977,NaN,NaN,NaN,,NaN
,Q3279043,Q7995328,Q2253977,,album by Rick Wakeman,1977,NaN,NaN,NaN,,progressive rock
,Q11890247,Q11864095,Q17384659,,"Hardware Dealer Numbskull Emptybrook, the President's Son-in-Law",1978,NaN,90,Finnish,,comedy film
,Q5966568,Q7811204,NaN,,La escopeta nacional,1978,NaN,95,Catalan,,comedy film
,Q3129126,Q3129129,NaN,,Heaven Sword and Dragon Sabre 2,1978,NaN,98,Cantonese,,action film
,Q4656513,Q4660059,Q12125014,,A Distant Thunder,1978,NaN,NaN,English,,drama film
,Q20814915,Q5097880,Q18636792,,The Young Runaways,1978,NaN,NaN,NaN,,drama film
,Q118186982,Q2610935,NaN,,Malibu Beach,1978,NaN,NaN,NaN,,NaN
,Q4212459,Q3999206,Q4191892,,Vacation in Prostokvashino,1980,NaN,"1,078",Russian,,family film
,Q3521939,Q8058567,Q7752723,,The Music Band,1980,NaN,NaN,NaN,,rhythm and blues
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q1986452,Q466204,Q5428507,,Faces of Death II,1981,NaN,85,English,,horror film
,Q10883445,Q1195096,Q11050239,,Q10883445,1981,NaN,NaN,NaN,,NaN
,Q1212924,Q1213324,NaN,,Die Gerechten von Kummerow,1982,NaN,91±0,German,,children's film
,Q5442419,Q7882092,Q16241748,,Feliz Navidad,1982,NaN,NaN,NaN,,Latin pop
,Q2595438,Q213683,Q903541,,The Final Cut,1983,NaN,19,English,,progressive rock
,Q1067124,Q980232,Q1055788,,Fantozzi subisce ancora,1983,NaN,83,Italian,,comedy film
,Q12403252,Q3837811,Q3648454,,Serious Moonlight,1983,NaN,87,NaN,,rock music
,Q622775,Q5352401,NaN,,El crack dos,1983,NaN,115,Spanish,,crime novel
,Q3785874,Q7491333,NaN,,Story of O - Chapter 2,1984,NaN,87,French,,drama film
,Q232096,Q1216610,Q1212078,,Zwei Nasen tanken Super,1984,NaN,92,German,,comedy film
,Q16668992,Q2364856,NaN,,1984 film by Chantal Akerman,1984,NaN,100,French,,anthology film
,Q54994,Q54993,NaN,,Point of No Return,1984,NaN,101,Polish,,comedy film
,Q11059725,Q4868235,NaN,,Return of Bastard Swordsman,1984,NaN,NaN,NaN,,action film
,Q8025670,Q4656492,NaN,,Winnie the Pooh and Friends,1984,NaN,NaN,NaN,,NaN
,Q1304755,Q206740,NaN,,1985 film by Georges Lautner,1985,NaN,87,French,,comedy film
,Q367592,Q4484384,Q3713822,,Old Rottenhat,1985,NaN,"2,543",NaN,,progressive rock
,Q3798548,Q832093,NaN,,Cut and Run,1985,NaN,90±0,Italian,,splatter film
,Q7744740,Q7726636,Q602236,,The Kiss and Other Movements,1985,NaN,NaN,NaN,,contemporary classical music
,Q3622130,Q7522655,Q4642553,,Arena (An Absurd Notion),1985,NaN,NaN,NaN,,dance music
,Q468668,Q7719001,Q3548822,,Miss Marple: The Moving Finger,1985,NaN,NaN,English,,film based on a novel
,Q4043094,Q1464059,Q558808,,Live in Rio,1985,NaN,NaN,NaN,,NaN
,Q7422004,Q5249610,Q7537819,,"Sarah, Plain and Tall",1985,NaN,NaN,NaN,,NaN
,Q3304609,Q1115213,NaN,,Silent Nights,1985,NaN,NaN,NaN,,progressive rock
,Q12618806,Q5380655,Q16167854,,Entrails of a Beautiful Woman,1986,NaN,68,Japanese,,NaN
,Q6133822,Q4658678,NaN,,State of Grace,1986,NaN,NaN,NaN,,NaN
,Q884115,Q798627,Q5222242,,Blind Before I Stop,1986,NaN,NaN,NaN,,pop rock
,Q3639786,Q4904980,NaN,,Big Bad Mama II,1987,NaN,83±0,English,,comedy film
,Q1687988,Q1428083,Q1286152,,Tight Skin 2,1987,NaN,87±0,Serbo-Croatian,,comedy film
,Q3374743,Q3374746,,,Penitentiary III,1987,NaN,91±0,English,,prison film
,Q12525316,Q8057417,NaN,,You Must Be Joking Too!,1987,NaN,NaN,English,,comedy film
,Q16919808,Q5299400,Q5299390,,Dot and the Smugglers,1987,NaN,NaN,English,,NaN
,Q7062210,Q7771888,Q7443296,,Not That Sort of Girl,1987,NaN,NaN,NaN,,NaN
,Q3739439,Q1055788,Q3739431,,Fantozzi va in pensione,1988,NaN,94,Italian,,comedy film
,Q25947,Q1104775,NaN,,Strike Commando 2,1988,NaN,95,English,,action film
,Q17384508,Q7903574,Q17384669,,Double Uuno,1988,NaN,101,Finnish,,comedy film
,Q5567085,Q3648454,Q4035343,,Glass Spider,1988,NaN,NaN,NaN,,rock music
,Q464365,Q2078932,NaN,,"British TV series, 1989, adaptation of the 1951 and 1952 children's fantasy novels",1989,NaN,171,NaN,,fantasy television series
,Q21007188,Q1663086,NaN,,Secret Signals,1989,NaN,NaN,NaN,,jazz fusion
,Q2740751,Q4922517,Q726001,,Blackadder Goes Forth,1989,NaN,NaN,NaN,,sitcom
,Q3433058,Q674851,Q3433055,,My New Partner II,1990,NaN,107,French,,buddy film
,Q3797333,Q3797328,NaN,,In nome del popolo sovrano,1990,NaN,NaN,Italian,,drama film
,Q23307007,Q8027893,Q23308525,,Witchcraft III: The Kiss of Death,1991,NaN,85,English,,horror film
,Q24151,Q259937,NaN,,Alligator II – The Mutation,1991,NaN,91,English,,science fiction film
,Q18809197,Q1371008,NaN,,Wild Orchid II: Two Shades of Blue,1991,"573,904",111±1,English,,erotic film
,Q745544,Q947852,Q6131939,,The Fencing Master,1992,NaN,84,Spanish,,film based on a novel
,Q745863,Q682771,Q3842317,,The Freddie Mercury Tribute Concert,1992,NaN,175,NaN,,documentary film
,Q1533391,Q317510,NaN,,Das war der wilde Osten,1992,NaN,93±0,German,,comedy film
,Q7732494,Q784535,Q7805215,,album by Michael Nyman,1992,NaN,NaN,NaN,,contemporary classical music
,Q3776247,Q4022746,Q637702,,Greatest Video Hits,1992,NaN,NaN,NaN,,NaN
,Q908593,Q268236,Q836551,,MTV Unplugged +3,1992,NaN,NaN,NaN,,rhythm and blues
,Q4311360,Q2508868,NaN,,Crazy Hong Kong,1993,NaN,NaN,Afrikaans,,comedy film
,Q3977990,Q12127263,Q3749175,,Supermodel of the World,1993,NaN,NaN,NaN,,house music
,Q3596108,Q3607806,Q733361,,"""Weird Al"" Yankovic: The Ultimate Collection",1993,NaN,NaN,English,,NaN
,Q111732011,Q7717948,NaN,,The Bikini Carwash Company II,1993,NaN,NaN,English,,NaN
,Q17384662,Q11899804,Q11866791,,NaN,1993,NaN,NaN,Finnish,,NaN
,Q21030240,Q9019373,NaN,,The Return of the North Wind,1994,NaN,77,Basque,,animated film
,Q77894623,Q2908452,Q77894637,,Bodyguard Kiba: Apocalypse of Carnage,1994,NaN,NaN,NaN,,martial arts film
,Q15039815,Q5299390,NaN,,Dot in Space,1994,NaN,NaN,English,,NaN
,Q5966916,Q628620,Q5840599,,Q5966916,1994,NaN,NaN,NaN,,NaN
,Q12411851,Q390371,NaN,,1995 film directed by Assi Dayan,1995,NaN,96,Hebrew,,black comedy film
,Q3998898,Q589001,NaN,,Sons of Trinity,1995,NaN,103±0,Italian,,Spaghetti Western
,Q4239718,Q1151145,NaN,,Red Scorpion 2,1995,NaN,NaN,English,,action film
,Q7687010,Q4988024,Q7718917,,Tarzan: The Lost Adventure,1995,NaN,NaN,NaN,,NaN
,Q2601398,Q2737332,Q964347,,1995 Roxette video album,1995,NaN,NaN,English,,pop rock
,Q5716921,Q125058,NaN,,"Henry: Portrait of a Serial Killer, Part II",1996,NaN,84,English,,horror film
,Q2382030,Q2138296,NaN,,Iron Monkey 2,1996,NaN,92,Cantonese,,action film
,Q3024072,Q643805,NaN,,Things I Never Told You,1996,NaN,93,English,,romance film
,Q3739430,Q1069549,Q1075021,,Fantozzi – Il ritorno,1996,NaN,96,Italian,,comedy film
,Q5223680,Q1166265,,,Darkman III: Die Darkman Die,1996,NaN,87±0,English,,superhero film
,Q86358820,Q7091874,NaN,,Once Upon a Time in Triad Society 2,1996,NaN,NaN,Cantonese,,action film
,Q5247200,Q3179389,Q5111538,,Death Row Greatest Hits,1996,NaN,NaN,NaN,,NaN
,Q3704293,Q903000,NaN,,Death: The Time of Your Life,1996,NaN,NaN,NaN,,NaN
,Q7317184,Q7536903,Q7312841,,Return of Techno-Destructo,1996,NaN,NaN,English,,thrash metal
,Q104898524,Q5004118,Q17335101,,film directed by Jaroslav Soukup,1997,NaN,80,NaN,,comedy film
,Q3338974,Q3275147,NaN,,97 Aces Go Places,1997,NaN,92,Cantonese,,action comedy film
,Q23308804,Q8027897,Q23308839,,Witchcraft IX: Bitter Flesh,1997,NaN,92,English,,horror film
,Q106988220,Q12132407,NaN,,Ellen Foster,1997,NaN,94,English,,drama film
,Q137399,Q1754315,Q1933003,,Flaming Pie,1997,NaN,"3,227",NaN,,pop rock
,Q58486853,Q4185478,Q28406237,,Crackerjack 2,1997,NaN,NaN,English,,action film
,Q7999623,Q7999616,Q110446854,,"Wiggly, Wiggly Christmas",1997,NaN,NaN,English,,children's music
,Q5972808,Q1933069,Q3256936,,extended play,1997,NaN,NaN,NaN,,rock music
,Q3068992,Q2282061,Q16652134,,1998 film by Jan Bucquoy,1998,NaN,85,NaN,,documentary film
,Q4315436,Q4315378,NaN,,1998 film by Valeriy Chikov,1998,NaN,NaN,Russian,,drama film
,Q3596111,Q733361,Q3596113,,"1998 DVD and laserdisc directed by Robert K. Weiss, Mark Osborne, Dror Soref and Janet Greek",1998,NaN,NaN,English,,NaN
,Q5307057,Q5571525,Q5121382,,Dress to Kill,1998,NaN,NaN,NaN,,stand-up comedy
,Q1534678,Q4408214,NaN,,A Season for Miracles,1999,NaN,100±0,English,,Christmas film
,Q5305465,Q1255165,NaN,,1999 film by Ted Nicolaou,1999,NaN,NaN,English,,fantasy film
,Q17426203,Q7732733,Q7735354,,The Duchess and the Devil,1999,NaN,NaN,English,,film based on a novel
,Q642180,Q4656752,Q2070803,,LOVEppears,1999,NaN,NaN,NaN,,J-pop
,Q7296478,Q148429,Q8031890,,Ravenous,1999,NaN,NaN,NaN,,minimalist music
,Q2633073,Q3602639,Q1995633,,Sacred Arias,1999,NaN,NaN,NaN,,NaN
,Q2440644,Q56886,Q2635839,,The Video Collection 93:99,1999,NaN,NaN,NaN,,NaN
,Q8027939,Q8027938,NaN,,Witchouse 2: Blood Coven,2000,NaN,77,English,,horror film
,Q129959,Q1306317,Q814139,,Beethoven's 3rd,2000,NaN,94,English,,comedy film
,Q4780074,Q4780077,Q2206794,,Tribulation,2000,NaN,95±0,English,,post-apocalyptic film
,Q218524,Q3036288,NaN,,Totally Spies!,2001,NaN,24,English,,comedy television series
,Q4326485,Q4366111,Q28705763,,The New Bremen Town Musicians,2001,NaN,56,Russian,,musical
,Q2657563,Q2667050,Q2976126,,The Brotherhood II,2001,NaN,81±0,English,,horror film
,Q16485820,Q4655270,NaN,,A2,2001,NaN,NaN,NaN,,documentary film
,Q4363183,Q866318,Q96655921,,Peony Pavilion,2001,NaN,NaN,Mandarin,,drama film
,Q620961,Q796340,Q3985908,,25 &amp; Alive Boneshaker,2001,NaN,NaN,NaN,,heavy metal
,Q16953011,Q10976897,NaN,,Modrý album,2001,NaN,NaN,NaN,,pop music
,Q16962781,Q16959703,Q6654490,,The Oceanic Concerts,2001,NaN,NaN,NaN,,rock music
,Q1949660,Q1949598,Q1949946,,Live in the Navajo Nation,2002,NaN,53,NaN,,NaN
,Q2001642,Q940275,Q917006,,2002 film by Bill Corcoran,2002,NaN,95±0,English,,film based on a novel
,Q7623955,Q1170157,Q5428616,,album by Michael Nyman,2002,NaN,NaN,NaN,,contemporary classical music
,Q15099849,Q2393675,Q1764703,,The Best of 1990-2000,2002,NaN,NaN,NaN,,NaN
,Q7080408,Q8183608,NaN,,Oh Aaron: Live in Concert,2002,NaN,NaN,NaN,,pop music
,Q6052943,Q1705034,Q6015712,,Türk Lokumuyla Tatlı Rüyalar,2002,NaN,NaN,NaN,,pop music
,Q3987729,Q962111,NaN,,2003 film by Yongyoot Thongkongtoon,2003,NaN,100,Thai,,comedy film
,Q600818,Q930946,Q722448,,Live at the Garden,2003,NaN,190±0,NaN,,documentary film
,Q1930492,Q387122,Q2596258,,Shoot from the Hip,2003,NaN,"3,319",NaN,,dance-pop
,Q1768229,Q1768205,Q1767891,,Noise for Music's Sake,2003,NaN,NaN,NaN,,death metal
,Q7775690,Q7766294,Q7715430,,2003 film,2003,NaN,NaN,English,,NaN
,Q22811828,Q7300672,NaN,,2003 film directed by Paul Seed,2003,NaN,NaN,English,,NaN
,Q5601326,Q6296326,Q6657686,,Greatest Hits 1978–1997,2003,NaN,NaN,NaN,,NaN
,Q9020741,Q3988280,Q5851705,,Later with Jools Holland,2003,NaN,NaN,NaN,,NaN
,Q9020741,Q5222252,Q5851705,,Later with Jools Holland,2003,NaN,NaN,NaN,,NaN
,Q6791885,Q855300,Q6791849,,2003 film directed by Joe Ma,2003,NaN,NaN,NaN,,romantic comedy
,Q3129140,Q2399389,Q1129023,,Heavier Things,2003,NaN,NaN,NaN,,soft rock
,Q1742152,Q606159,,,Balto III: Wings of Change,2004,NaN,76,English,,flashback film
,Q18162725,Q7746835,NaN,,Tentacolino,2004,NaN,88,Italian,,NaN
,Q1644039,Q1481125,NaN,,Les fils du vent,2004,NaN,90,French,,adventure film
,Q3411666,Q758587,NaN,,Pédale dure,2004,NaN,90,French,,comedy film
,Q2526663,Q2278298,NaN,,2004 film,2004,NaN,110,English,,musical film
,Q927734,Q2556481,Q252355,,album by Placebo,2004,NaN,"4,034",NaN,,rock music
,Q16833305,Q15052180,NaN,,2004 film,2004,NaN,NaN,Korean,,action comedy film
,Q7160988,Q3248892,Q12487066,,Pejantan Tangguh,2004,NaN,NaN,NaN,,alternative rock
,Q3333990,Q774269,Q22074954,,Música cubana,2004,NaN,NaN,NaN,,documentary film
,Q3025433,Q3212483,Q3109742,,Warming by the Devil's Fire,2004,NaN,NaN,NaN,,documentary film
,Q1935597,Q583965,Q743532,,album by Blackmore's Night,2004,NaN,NaN,NaN,,folk rock
,Q1754239,Q4944146,Q1754151,,Hangover Music Vol. VI,2004,NaN,NaN,NaN,,hard rock
,Q25531104,Q7107217,NaN,,Osmondagi bolalar 2,2004,NaN,NaN,NaN,,NaN
,Q12507717,Q4976538,Q12507719,,Q12507717,2004,NaN,NaN,NaN,,NaN
,Q4660774,Q3208259,Q4032797,,A Wonderful Life,2004,NaN,NaN,NaN,,pop music
,Q3283962,Q743190,NaN,,Lizzie McGuire: Total Party!,2004,NaN,NaN,NaN,,pop music
,Q1320280,Q1129981,Q993811,,This Christmas/More Than Love,2004,NaN,NaN,NaN,,pop music
,Q3786339,Q6656770,Q7497478,,Hollywood Potato Chip,2004,NaN,NaN,NaN,,pop punk
,Q2361613,Q2081802,Q194063,,Four Flicks,2004,NaN,NaN,English,,rock music
,Q1408347,Q654119,Q682771,,Jewels,2004,NaN,NaN,NaN,,rock music
,Q16157215,Q7772416,NaN,,2004 video by The Human League,2004,NaN,NaN,NaN,,synth-pop
,Q693660,Q1582752,Q129869,,Torrente 3: El protector,2005,NaN,91,Spanish,,crime film
,Q7775823,Q7775824,NaN,,2005 film by Sterling Van Wagenen,2005,NaN,100,English,,drama film
,Q7775823,Q7775824,NaN,,2005 film by Sterling Van Wagenen,2005,NaN,100,English,,drama film
,Q4279720,Q4279711,NaN,,Don't Cry Mommy 2,2005,NaN,105,Russian,,comedy film
,Q3414014,Q2520370,NaN,,Queen Size Bed,2005,NaN,105,Spanish,,comedy film
,Q4927929,Q4927931,NaN,,Bloodfist 2050,2005,NaN,NaN,English,,action film
,Q4879744,Q4879742,NaN,,Beef III,2005,NaN,NaN,English,,documentary film
,Q1930376,Q1929733,NaN,,2005 film,2005,NaN,NaN,English,,grunge
,Q2156316,Q1351397,Q3814871,,Britney &amp; Kevin: Chaotic,2005,NaN,NaN,NaN,,NaN
,Q6656893,Q1991838,NaN,,Live at the Mirage,2005,NaN,NaN,NaN,,NaN
,Q8214188,Q9086875,Q287314,,Love Changes Everything,2005,NaN,NaN,NaN,,NaN
,Q768448,Q500392,Q1100057,,compilation album by Paul McCartney,2005,NaN,NaN,NaN,,rock music
,Q768448,Q500392,Q1100057,,compilation album by Paul McCartney,2005,NaN,NaN,NaN,,rock music
,Q3046042,Q2735562,Q3270546,,Ultraman Max,2005,NaN,NaN,Japanese,,tokusatsu
,Q3227598,Q261415,Q44973867,,The Time of Secrets,2006,NaN,98,NaN,,film based on literature
,Q1969749,Q1004801,NaN,,Bumer: Film vtoroy,2006,NaN,110,Russian,,drama film
,Q4215504,Q2368678,NaN,,Q4215504,2006,NaN,162,Russian,,comedy film
,Q1397469,Q2411281,Q65167205,,2006 film by John Stagliano,2006,NaN,250,English,,pornographic film
,Q300606,Q693045,Q578159,,A Twist in the Myth,2006,NaN,"3,091",NaN,,power metal
,Q615860,Q1764387,Q1763184,,Beck – Skarpt läge,2006,NaN,90±0,Swedish,,thriller
,Q4929823,Q6811183,Q7573555,,Blue Screen,2006,NaN,NaN,NaN,,crime novel
,Q1528110,Q1276111,Q1233957,,G.A.M.E.,2006,NaN,NaN,NaN,,gangsta rap
